@RELATION Gabor_all
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE a18 NUMERIC
@ATTRIBUTE a19 NUMERIC
@ATTRIBUTE a20 NUMERIC
@ATTRIBUTE a21 NUMERIC
@ATTRIBUTE a22 NUMERIC
@ATTRIBUTE a23 NUMERIC
@ATTRIBUTE a24 NUMERIC
@ATTRIBUTE a25 NUMERIC
@ATTRIBUTE a26 NUMERIC
@ATTRIBUTE a27 NUMERIC
@ATTRIBUTE a28 NUMERIC
@ATTRIBUTE a29 NUMERIC
@ATTRIBUTE a30 NUMERIC
@ATTRIBUTE a31 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
84.2440053863,29.4327065259,1.71310877733,2.09031918295,84.2440053863,29.4327065259,1.78238679393,2.16967596746,84.2440053863,29.4327065259,0.514955553689,1.03358754063,84.2440053863,29.4327065259,0.523044867234,1.04743710294,84.2440053863,29.4327065259,0.545329813761,1.10436901933,84.2440053863,29.4327065259,0.55265354229,1.11338913821,84.2440053863,29.4327065259,0.490935286577,0.980367730673,84.2440053863,29.4327065259,0.499721945008,0.99857803637,0
91.4946422568,19.8690085677,1.54099797472,1.68082459524,91.4946422568,19.8690085677,1.67368988795,1.97419921655,91.4946422568,19.8690085677,0.398101937783,0.933324735881,91.4946422568,19.8690085677,0.41115354354,0.970958348554,91.4946422568,19.8690085677,0.418693855164,0.982376333899,91.4946422568,19.8690085677,0.435391976252,1.03033868413,91.4946422568,19.8690085677,0.386239764021,0.907175094771,91.4946422568,19.8690085677,0.393569294986,0.930525020557,1
84.6803140757,29.2018841042,1.6077547377,1.8937672499,84.6803140757,29.2018841042,1.82730504654,2.25474138403,84.6803140757,29.2018841042,0.490914459411,0.99093603033,84.6803140757,29.2018841042,0.515067648283,1.05084549046,84.6803140757,29.2018841042,0.512454203317,1.04444917509,84.6803140757,29.2018841042,0.547467151942,1.12575050596,84.6803140757,29.2018841042,0.472572900493,0.951198074953,84.6803140757,29.2018841042,0.488281280099,0.996225019805,0
91.3698145052,19.1165723042,2.18458152944,3.06731686671,91.3698145052,19.1165723042,1.46360957766,1.6222738559,91.3698145052,19.1165723042,0.549162110593,1.25274270542,91.3698145052,19.1165723042,0.494443847661,1.06791577254,91.3698145052,19.1165723042,0.600839188484,1.37888353036,91.3698145052,19.1165723042,0.506501500634,1.10402390431,91.3698145052,19.1165723042,0.507765662076,1.14718761834,91.3698145052,19.1165723042,0.484037731217,1.04442089879,3
83.8361549739,29.5722900883,1.69076726111,2.01491119101,83.8361549739,29.5722900883,1.85917930303,2.27085637723,83.8361549739,29.5722900883,0.530055281511,1.03776182255,83.8361549739,29.5722900883,0.546303487141,1.07106482843,83.8361549739,29.5722900883,0.553427598972,1.09534902375,83.8361549739,29.5722900883,0.579420687331,1.14605049862,83.8361549739,29.5722900883,0.510831246593,0.993975275477,83.8361549739,29.5722900883,0.519258272551,1.0164304232,0
91.8532766626,18.4906075721,2.04863467721,2.88878518522,91.8532766626,18.4906075721,1.51118383541,1.77571791842,91.8532766626,18.4906075721,0.510802260349,1.19750158539,91.8532766626,18.4906075721,0.467764694789,1.05135379158,91.8532766626,18.4906075721,0.554931665192,1.31215301141,91.8532766626,18.4906075721,0.48429462229,1.1011390579,91.8532766626,18.4906075721,0.475639427682,1.1029029075,91.8532766626,18.4906075721,0.456236713659,1.02105183886,3
85.9890450379,26.6170156846,1.91619491135,2.36318970002,85.9890450379,26.6170156846,1.75077909946,2.05497189886,85.9890450379,26.6170156846,0.575221562015,1.14200918582,85.9890450379,26.6170156846,0.558702395316,1.09409635613,85.9890450379,26.6170156846,0.606300714462,1.21003520687,85.9890450379,26.6170156846,0.580131359426,1.14205837679,85.9890450379,26.6170156846,0.549992748862,1.09082201865,85.9890450379,26.6170156846,0.537090657597,1.05090730045,5
85.8059221552,28.2571313244,1.60820762544,1.93812172686,85.8059221552,28.2571313244,1.7789763255,2.22550021606,85.8059221552,28.2571313244,0.473346133388,0.993907880936,85.8059221552,28.2571313244,0.496240452257,1.04699622047,85.8059221552,28.2571313244,0.49405403082,1.04844816321,85.8059221552,28.2571313244,0.527157408236,1.12083865809,85.8059221552,28.2571313244,0.456813029819,0.95423578705,85.8059221552,28.2571313244,0.472846039399,0.996262770887,0
91.1275627678,21.2892215723,1.62339659008,2.07226297757,91.1275627678,21.2892215723,1.55691133478,1.85958945062,91.1275627678,21.2892215723,0.427501926212,1.04985932628,91.1275627678,21.2892215723,0.398285872267,0.96652030523,91.1275627678,21.2892215723,0.447878783673,1.10409039455,91.1275627678,21.2892215723,0.410151954037,1.0025604608,91.1275627678,21.2892215723,0.411032742391,1.01033697246,91.1275627678,21.2892215723,0.38790136497,0.936012836197,7
86.7175208991,27.6094080989,1.55527070123,1.84924811607,86.7175208991,27.6094080989,1.70788340484,2.11119613508,86.7175208991,27.6094080989,0.434967629654,0.954393288353,86.7175208991,27.6094080989,0.448671876796,0.992814027558,86.7175208991,27.6094080989,0.454215027587,1.00471117054,86.7175208991,27.6094080989,0.47764940054,1.06339867974,86.7175208991,27.6094080989,0.420243403231,0.917884983803,86.7175208991,27.6094080989,0.427932803152,0.945186524864,0
93.0286054169,17.3938697886,2.24353357786,3.38035829221,93.0286054169,17.3938697886,1.30634435448,1.2440878931,93.0286054169,17.3938697886,0.536014381394,1.33151360987,93.0286054169,17.3938697886,0.421667852302,1.01779346329,93.0286054169,17.3938697886,0.60144141655,1.49016230655,93.0286054169,17.3938697886,0.414102758305,1.01008312016,93.0286054169,17.3938697886,0.489569564956,1.21631967336,93.0286054169,17.3938697886,0.431456833126,1.03003648083,8
89.6115755406,21.4935995423,2.24340842926,2.96643907079,89.6115755406,21.4935995423,1.51563488739,1.67133688147,89.6115755406,21.4935995423,0.590276743409,1.22698854774,89.6115755406,21.4935995423,0.560302551138,1.12364777643,89.6115755406,21.4935995423,0.646476677192,1.35203044538,89.6115755406,21.4935995423,0.568928783573,1.14646310341,89.6115755406,21.4935995423,0.554765172353,1.15140890141,89.6115755406,21.4935995423,0.551939529132,1.10503769883,9
84.2041220739,29.4927832846,1.64686523637,1.96118415628,84.2041220739,29.4927832846,1.87494238056,2.33109473599,84.2041220739,29.4927832846,0.516393815676,1.02270451781,84.2041220739,29.4927832846,0.542658791084,1.08391367722,84.2041220739,29.4927832846,0.536892236202,1.07469919806,84.2041220739,29.4927832846,0.579616560802,1.16413755681,84.2041220739,29.4927832846,0.499948664135,0.985155417923,84.2041220739,29.4927832846,0.51473324288,1.02686282556,0
88.3869401301,24.4990599895,1.86070406002,2.41036659982,88.3869401301,24.4990599895,1.56304318654,1.73836919548,88.3869401301,24.4990599895,0.506904113842,1.1166731842,88.3869401301,24.4990599895,0.456615535464,0.978020404383,88.3869401301,24.4990599895,0.541845360961,1.19811891449,88.3869401301,24.4990599895,0.469960898388,1.01283548496,88.3869401301,24.4990599895,0.481279484743,1.05966923995,88.3869401301,24.4990599895,0.448864734075,0.957487088547,10
89.8598842233,20.9223220143,2.18745360384,2.87617944798,89.8598842233,20.9223220143,1.56560328828,1.76331696358,89.8598842233,20.9223220143,0.582035781917,1.19911226282,89.8598842233,20.9223220143,0.559092915789,1.11727405047,89.8598842233,20.9223220143,0.634170241266,1.31949831553,89.8598842233,20.9223220143,0.57578891292,1.15891688328,89.8598842233,20.9223220143,0.547809603245,1.125369074,89.8598842233,20.9223220143,0.5460573151,1.08841074541,9
84.0185025792,29.4934276702,1.69198044532,2.02897786149,84.0185025792,29.4934276702,1.84979317928,2.26067173458,84.0185025792,29.4934276702,0.533041570529,1.04492685223,84.0185025792,29.4934276702,0.543160814891,1.06311874113,84.0185025792,29.4934276702,0.556292489939,1.10063665372,84.0185025792,29.4934276702,0.575318522181,1.13515968817,84.0185025792,29.4934276702,0.513150282077,1.00128336696,84.0185025792,29.4934276702,0.517484481572,1.01244375482,0
93.7595156924,16.6959143018,2.06139777415,3.11972853683,93.7595156924,16.6959143018,1.2699346963,1.19864989758,93.7595156924,16.6959143018,0.473959390716,1.26751299475,93.7595156924,16.6959143018,0.368514929682,0.955414204028,93.7595156924,16.6959143018,0.531085340799,1.41754656673,93.7595156924,16.6959143018,0.360020402262,0.943322444784,93.7595156924,16.6959143018,0.431734208205,1.15552362681,93.7595156924,16.6959143018,0.380160427272,0.975641263375,8
85.2210785913,27.2545160119,1.95855415348,2.39782635186,85.2210785913,27.2545160119,1.79435485838,2.07183602947,85.2210785913,27.2545160119,0.607714518396,1.16924164339,85.2210785913,27.2545160119,0.574230950926,1.08815286401,85.2210785913,27.2545160119,0.642286970245,1.24287264709,85.2210785913,27.2545160119,0.598569104571,1.14119612444,85.2210785913,27.2545160119,0.578992243322,1.11314601653,85.2210785913,27.2545160119,0.554261969549,1.04730283333,5
84.829852585,29.029562869,1.63697826314,1.94533273231,84.829852585,29.029562869,1.84384235929,2.28661323303,84.829852585,29.029562869,0.502326068725,1.01371370514,84.829852585,29.029562869,0.521446642085,1.05894893728,84.829852585,29.029562869,0.52400352695,1.06933398802,84.829852585,29.029562869,0.555486087412,1.13610498596,84.829852585,29.029562869,0.485394362539,0.974007440622,84.829852585,29.029562869,0.49622774009,1.00650331321,0
