@RELATION Gabor_16_LDA
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE class {26,121,62,125,17,58,0,118,59,87,37,109,113,94,90,64,25,60,14,61,110,111,89,63,88,85,1,92,108,84,112,117,65,19,119,16,93,91,107,13,126,114,18,81,102,66,123,95,124,354,342,352,344,334,345,339,347,349,343,355,332,333,341,340,330,350,351,353,337,335,338,294,346,336,383,387,386,384,348,274,382,380,285,329,379,301,364,385,357,239,356,293,198,154,173,152,184,153,205,129,128,168,133,132,179,150,166,7,187,175,169,208,178,161,135,185,130,158,5,162,193,203,151,131,206,197,10,155,199,177,170,159,190,12,160,140,174,139,8,3,180,127,186,172,188,9,194,134,204,181,192,157,195,163,11,165,164,207,202,171,496,415,498,446,454,390,393,453,414,389,491,527,444,449,542,488,486,442,455,403,482,447,484,388,443,497,405,514,391,392,480,448,456,492,458,452,420,490,451,481,487,513,493,445,408,495,483,409,489,450,544,439,394,240,494,231,296,247,213,254,289,282,214,246,248,325,272,212,328,320,288,297,292,209,230,299,215,276,241,232,278,211,300,217,283,256,287,259,277,281,237,286,233,295,234,250,273,216,291,280,210,275,235,242,324,279,298,243,321,315,545,548,634,555,635,562,567,670,588,577,552,549,551,582,553,559,550,563,546,671,584,586,599,547,585,587,561,583,598,658,560}
@DATA
-2.70683307595,1.95459514405,-1.27401568499,0.695545416348,0.0546774098237,-0.761717291345,26
1.87473009821,-2.00391555839,2.99648797727,-1.04750947345,1.15253459961,-1.05088245786,121
-0.126185036019,-4.51991690188,4.07770445388,1.44458231311,0.300163843552,0.323809141379,62
-2.3166373261,1.94366547989,2.61218295069,2.15755588964,0.266702723491,-0.019567946636,125
-3.07851064695,4.51627365415,-1.63705551102,1.36274102184,-3.94998316208,0.940974551564,17
2.73438557696,3.17477357067,1.57797052301,-1.62756761623,2.36489515253,-1.84221088022,58
9.1830439692,3.79599350587,-3.8266608366,3.01717158167,1.0891293193,0.2337691718,0
-10.087184757,-1.84376452351,-4.4109827476,-1.45249170223,1.19104866385,1.00237652901,118
-2.09596880152,1.31625944521,-2.43750822006,0.817874735331,-1.19018067545,-0.562337949985,26
8.15466231931,3.88666456288,-3.04060257325,1.81770194807,1.1122006556,0.428046981444,0
-0.64870764952,1.18472532802,-1.91319759695,0.966391814718,-5.19538714733,-0.0706028260682,59
8.55305405217,5.43340388482,0.340590933471,-0.248415023813,-0.683728980056,4.13190868749,0
8.82479121691,3.84426151329,-3.41373870491,3.15385809938,2.53833453729,0.140768339028,0
-7.24179255411,-2.13892135991,-4.15084206091,1.8717873547,-3.03483693952,-0.65461705951,87
-1.17226790863,0.228698991894,2.39344477076,0.971959558231,-0.39238345921,-1.82477206222,37
1.23166210408,-2.00222380736,0.815256715951,0.653265255296,-0.21549782455,0.76033146806,109
