@RELATION GSCM_5
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
27248.0,17661.0,114430.0,23862.0,20961.0,109448.0,27160.0,17822.0,114196.0,24182.0,20633.0,109784.0,0
25380.0,15734.0,120152.0,25380.0,15734.0,120152.0,25380.0,15734.0,120152.0,25380.0,15734.0,120152.0,0
24940.0,15451.0,121158.0,24940.0,15451.0,121158.0,24940.0,15451.0,121158.0,24940.0,15451.0,121158.0,0
29712.0,17729.0,111830.0,29712.0,17729.0,111830.0,29712.0,17729.0,111830.0,29712.0,17729.0,111830.0,0
29324.0,17661.0,112354.0,29324.0,17661.0,112354.0,29324.0,17661.0,112354.0,29324.0,17661.0,112354.0,0
25672.0,16032.0,119264.0,25672.0,16032.0,119264.0,25672.0,16032.0,119264.0,25672.0,16032.0,119264.0,0
8900.0,22622.0,122856.0,8900.0,22622.0,122856.0,8900.0,22622.0,122856.0,8900.0,22622.0,122856.0,1
8486.0,22374.0,123766.0,8486.0,22374.0,123766.0,8486.0,22374.0,123766.0,8486.0,22374.0,123766.0,1
10892.0,25565.0,114978.0,10892.0,25565.0,114978.0,10892.0,25565.0,114978.0,10892.0,25565.0,114978.0,1
7416.0,19758.0,130068.0,7416.0,19758.0,130068.0,7416.0,19758.0,130068.0,7416.0,19758.0,130068.0,1
4724.0,12047.0,148182.0,4724.0,12047.0,148182.0,4724.0,12047.0,148182.0,4724.0,12047.0,148182.0,1
26516.0,16156.0,118172.0,26516.0,16156.0,118172.0,26516.0,16156.0,118172.0,26516.0,16156.0,118172.0,0
32646.0,19332.0,105690.0,32646.0,19332.0,105690.0,32646.0,19332.0,105690.0,32646.0,19332.0,105690.0,0
32838.0,19233.0,105696.0,32838.0,19233.0,105696.0,32838.0,19233.0,105696.0,32838.0,19233.0,105696.0,0
