@RELATION GSCM_5
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE class {26,121,62,125,17,58,0,118,59,87,37,109,113,94,90,64,25,60,14,61,110,111,89,63,88,85,1,92,108,84,112,117,65,19,119,16,93,91,107,13,126,114,18,81,102,66,123,95,124,354,342,352,344,334,345,339,347,349,343,355,332,333,341,340,330,350,351,353,337,335,338,294,346,336,383,387,386,384,348,274,382,380,285,329,379,301,364,385,357,239,356,293,198,154,173,152,184,153,205,129,128,168,133,132,179,150,166,7,187,175,169,208,178,161,135,185,130,158,5,162,193,203,151,131,206,197,10,155,199,177,170,159,190,12,160,140,174,139,8,3,180,127,186,172,188,9,194,134,204,181,192,157,195,163,11,165,164,207,202,171,496,415,498,446,454,390,393,453,414,389,491,527,444,449,542,488,486,442,455,403,482,447,484,388,443,497,405,514,391,392,480,448,456,492,458,452,420,490,451,481,487,513,493,445,408,495,483,409,489,450,544,439,394,240,494,231,296,247,213,254,289,282,214,246,248,325,272,212,328,320,288,297,292,209,230,299,215,276,241,232,278,211,300,217,283,256,287,259,277,281,237,286,233,295,234,250,273,216,291,280,210,275,235,242,324,279,298,243,321,315,545,548,634,555,635,562,567,670,588,577,552,549,551,582,553,559,550,563,546,671,584,586,599,547,585,587,561,583,598,658,560}
@DATA
46034.0,73322.0,953429.0,33240.0,85949.0,935713.0,54800.0,64858.0,958413.0,62828.0,56904.0,965300.0,26
47362.0,113814.0,1972376.0,43350.0,117724.0,1962395.0,80777.0,80601.0,2002567.0,56904.0,104504.0,1975949.0,121
40082.0,90382.0,1795514.0,28943.0,101498.0,1780541.0,54101.0,76835.0,1809894.0,47010.0,83976.0,1798608.0,62
71172.0,135254.0,1930446.0,64199.0,142493.0,1918680.0,114782.0,93446.0,1972171.0,96170.0,112055.0,1950651.0,125
98655.0,147734.0,1341719.0,74727.0,171587.0,1313032.0,143294.0,103570.0,1384150.0,148764.0,98189.0,1387069.0,17
62071.0,83250.0,1394772.0,59093.0,86181.0,1385683.0,77749.0,67877.0,1405832.0,59834.0,85832.0,1386440.0,58
53506.0,46194.0,619678.0,48659.0,50988.0,609367.0,41689.0,58275.0,602578.0,33560.0,66474.0,594280.0,0
29630.0,41646.0,540980.0,21183.0,49849.0,527664.0,25782.0,45439.0,532531.0,38714.0,32607.0,545195.0,118
61356.0,101262.0,1181398.0,43050.0,119492.0,1158127.0,71380.0,91677.0,1188249.0,82467.0,80637.0,1197544.0,26
65760.0,49916.0,723775.0,54545.0,60743.0,707325.0,47061.0,68576.0,700201.0,42339.0,73461.0,695119.0,0
50129.0,125146.0,1061097.0,42700.0,132424.0,1048559.0,94062.0,81578.0,1101348.0,81660.0,93991.0,1087534.0,59
86304.0,49690.0,658315.0,73654.0,62260.0,640032.0,70101.0,66311.0,636521.0,64696.0,71787.0,631086.0,0
64131.0,56405.0,810817.0,59518.0,61116.0,800929.0,51607.0,69748.0,793481.0,41721.0,79667.0,783147.0,0
21093.0,45116.0,518260.0,15486.0,50632.0,508457.0,23132.0,43441.0,516500.0,30616.0,36031.0,523587.0,87
26937.0,42721.0,794066.0,17127.0,52317.0,779415.0,27912.0,41741.0,791076.0,32216.0,37513.0,794494.0,37
32011.0,78081.0,970270.0,27494.0,82659.0,960691.0,53681.0,57185.0,987853.0,36809.0,74098.0,970006.0,109
66098.0,57176.0,844132.0,60791.0,62519.0,833216.0,54818.0,69131.0,827629.0,45526.0,78470.0,817965.0,0
103071.0,64063.0,948501.0,88115.0,78965.0,928146.0,81380.0,86504.0,922061.0,73993.0,93989.0,914021.0,0
56103.0,101837.0,1795752.0,57839.0,100121.0,1792556.0,83545.0,75446.0,1820906.0,55175.0,103892.0,1789892.0,113
74229.0,62147.0,920631.0,66383.0,69834.0,907573.0,57695.0,79101.0,899666.0,47949.0,88972.0,889150.0,0
27211.0,68331.0,855761.0,23999.0,71375.0,847864.0,44066.0,52030.0,868705.0,28751.0,67427.0,852616.0,109
65266.0,44282.0,597718.0,57004.0,52176.0,584712.0,52836.0,56583.0,580962.0,46065.0,63501.0,573773.0,0
36729.0,106079.0,1200960.0,44335.0,98578.0,1204462.0,85092.0,59076.0,1247118.0,48717.0,95442.0,1208844.0,94
22982.0,68739.0,1147677.0,15303.0,76321.0,1134846.0,34693.0,57301.0,1155742.0,30131.0,61897.0,1149674.0,90
31665.0,115541.0,1679716.0,27358.0,119707.0,1670629.0,62514.0,84850.0,1708891.0,42139.0,105281.0,1685410.0,64
28032.0,53994.0,784943.0,18709.0,63210.0,770329.0,26933.0,55261.0,779199.0,32222.0,50042.0,783842.0,25
32686.0,81524.0,1089590.0,23541.0,90497.0,1076153.0,41409.0,73052.0,1096006.0,46717.0,67792.0,1099329.0,60
89243.0,140549.0,2173139.0,57299.0,172465.0,2136430.0,107088.0,123055.0,2190567.0,144292.0,85872.0,2223414.0,14
43458.0,82567.0,1173208.0,34336.0,91541.0,1159548.0,63651.0,62704.0,1190810.0,61311.0,65105.0,1186523.0,61
28776.0,37330.0,468691.0,19867.0,45866.0,455188.0,25060.0,40809.0,460554.0,37654.0,28366.0,472975.0,118
26665.0,78318.0,1687924.0,29110.0,75831.0,1686197.0,51174.0,54196.0,1711773.0,22882.0,82545.0,1679969.0,110
30932.0,66705.0,708247.0,26229.0,70935.0,698322.0,37929.0,59354.0,710499.0,30568.0,66864.0,702663.0,111
29050.0,73648.0,963668.0,20656.0,81889.0,949830.0,41259.0,61486.0,971487.0,56447.0,46363.0,985621.0,89
45427.0,91031.0,1214495.0,37458.0,98572.0,1202440.0,65191.0,71466.0,1232234.0,50140.0,86606.0,1215137.0,63
29555.0,117744.0,1552970.0,24526.0,122790.0,1543277.0,63097.0,85082.0,1584423.0,65035.0,83216.0,1583788.0,88
21686.0,39923.0,529162.0,17535.0,43919.0,519772.0,23216.0,38579.0,525353.0,18278.0,43577.0,520515.0,85
24717.0,64019.0,836791.0,29831.0,58811.0,838609.0,47979.0,41415.0,858565.0,22601.0,66865.0,831373.0,1
65752.0,59395.0,814028.0,61646.0,63447.0,804907.0,52987.0,72621.0,797030.0,40442.0,85242.0,783703.0,0
50181.0,118324.0,1021011.0,42295.0,126100.0,1007864.0,93238.0,75587.0,1060150.0,82289.0,86598.0,1047858.0,59
31403.0,61430.0,948134.0,20792.0,71937.0,932102.0,31097.0,61885.0,943394.0,36943.0,56099.0,948253.0,25
